averageSpeed,highestStreak,untradedDeaths,tradedDeaths,inapplicableTradedKills,inapplicableTradedDeaths,damageTaken,damageHealed,tacticalsUsed,lethalsUsed,percentTimeMoving,deadSilenceTime,totalKills,totalDeaths,totalAssists,totalScore,totalShotsFired,totalShotsHit,totalShotsHead,untradedKills,tradedKills,totalDamageDealt,friendDamage,totalTimeAlive,totalDistanceTraveled,totalInVictimFovKills,totalFirstBloodKills,totalLongshotKills,totalPointblankKills,totalRevengeKills,totalInAttackerFovKills,totalWallbangKills,killDeathRatio,totalObjectivesCaptured,objectiveTiersContributed,winner
1.9054981994628903,5.0,8.0,7.0,0.0,0.0,18.43,2.59,16.0,12.0,95.0,99.0,21.0,15.0,3.0,26.75,2.44,84.0,8.0,17.0,4.0,22.92,0.0,5280.16,717.871640625,21.0,0.0,0.0,0.0,2.0,21.0,2.0,1.4,2.0,6.0,1
1.9716119384765625,4.0,14.0,4.0,0.0,1.0,21.32,2.32,12.0,6.0,92.0,0.0,15.0,19.0,4.0,19.05,2.44,75.0,9.0,10.0,5.0,21.28,1.0,5084.48,677.22578125,12.0,0.0,1.0,0.0,3.0,15.0,0.0,0.79,1.0,3.0,0
1.9173863220214844,5.0,11.0,6.0,0.0,0.0,25.2,7.69,13.0,10.0,95.0,1.08,25.0,17.0,7.0,32.0,3.5,1.04,9.0,19.0,6.0,27.28,5.0,5211.2,682.403125,21.0,1.0,0.0,0.0,7.0,25.0,0.0,1.47,4.0,8.0,1
1.9045233154296877,3.0,18.0,3.0,0.0,0.0,24.15,2.63,16.0,11.0,95.0,0.0,20.0,21.0,6.0,27.1,3.39,88.0,13.0,13.0,7.0,24.39,60.0,4959.68,639.06640625,18.0,0.0,0.0,0.0,4.0,19.0,3.0,0.95,1.0,2.0,0
1.845741577148437,3.0,13.0,3.0,1.0,0.0,20.59,3.67,13.0,7.0,96.0,0.0,17.0,16.0,7.0,22.2,2.58,80.0,8.0,13.0,3.0,21.24,95.0,5224.32,628.4108984375,15.0,0.0,0.0,0.0,2.0,17.0,0.0,1.06,2.0,6.0,1
1.9898602294921877,2.0,14.0,6.0,0.0,0.0,21.09,1.09,9.0,7.0,87.0,76.0,8.0,20.0,12.0,13.75,2.43,61.0,2.0,5.0,3.0,16.18,0.0,4917.12,662.587109375,5.0,1.0,0.0,0.0,1.0,8.0,2.0,0.4,1.0,1.0,0
1.844622497558593,8.0,13.0,5.0,0.0,0.0,23.26,5.26,17.0,11.0,91.0,0.0,15.0,18.0,5.0,17.05,2.81,64.0,6.0,11.0,4.0,19.64,1.08,5023.52,605.6127734375,12.0,1.0,0.0,0.0,1.0,14.0,1.0,0.83,2.0,5.0,1
2.1901637268066407,4.0,14.0,4.0,0.0,0.0,25.14,6.64,14.0,11.0,97.0,90.0,23.0,18.0,1.0,25.5,3.12,94.0,10.0,17.0,6.0,23.55,1.0,4962.4,771.311171875,17.0,0.0,0.0,1.0,4.0,23.0,2.0,1.28,1.0,1.0,0
2.501539306640625,5.0,14.0,10.0,0.0,0.0,26.89,2.89,11.0,9.0,98.0,68.0,18.0,24.0,4.0,22.75,4.1,88.0,9.0,11.0,7.0,24.14,0.0,5244.8,883.895390625,14.0,1.0,0.0,0.0,6.0,18.0,0.0,0.75,1.0,2.0,1
1.9710099792480469,4.0,9.0,6.0,0.0,0.0,20.94,5.94,10.0,9.0,95.0,1.05,22.0,15.0,5.0,27.75,4.12,1.07,9.0,18.0,4.0,26.68,2.0,5589.92,714.800390625,19.0,1.0,4.0,0.0,5.0,22.0,0.0,1.47,2.0,3.0,0
