averageSpeed,highestStreak,untradedDeaths,tradedDeaths,inapplicableTradedKills,inapplicableTradedDeaths,damageTaken,damageHealed,tacticalsUsed,lethalsUsed,percentTimeMoving,deadSilenceTime,totalKills,totalDeaths,totalAssists,totalScore,totalShotsFired,totalShotsHit,totalShotsHead,untradedKills,tradedKills,totalDamageDealt,friendDamage,totalTimeAlive,totalDistanceTraveled,totalInVictimFovKills,totalFirstBloodKills,totalLongshotKills,totalPointblankKills,totalRevengeKills,totalInAttackerFovKills,totalWallbangKills,killDeathRatio,totalObjectivesCaptured,objectiveTiersContributed,matchGame.matchId,winner
1.8582548522949218,5.0,15.0,3.0,0.0,0.0,24.83,6.79,16.0,13.0,83.0,84.0,21.0,18.0,1.0,22.25,2.86,74.0,9.0,14.0,7.0,19.08,2.0,5752.8,638.0607421875,17.0,0.0,1.0,2.0,3.0,21.0,0.0,1.17,1.0,1.0,8729,0
1.7447705078125,5.0,11.0,8.0,0.0,0.0,24.68,5.68,14.0,9.0,86.0,79.0,21.0,19.0,8.0,28.0,3.49,1.14,8.0,18.0,3.0,29.46,1.0,5701.6,638.9047265625,15.0,0.0,1.0,1.0,2.0,21.0,0.0,1.11,2.0,7.0,8729,1
2.03438232421875,2.0,14.0,4.0,0.0,0.0,22.16,3.14,12.0,7.0,84.0,1.17,18.0,18.0,1.0,20.0,3.42,84.0,5.0,14.0,4.0,21.18,3.0,5753.92,716.14421875,14.0,0.0,2.0,0.0,4.0,17.0,0.0,1.0,1.0,1.0,8729,0
1.3873629760742188,3.0,6.0,5.0,0.0,0.0,14.34,2.73,9.0,8.0,84.0,66.0,14.0,11.0,4.0,18.0,2.61,53.0,10.0,10.0,4.0,14.12,0.0,6121.76,518.5050390625,12.0,1.0,1.0,0.0,2.0,14.0,0.0,1.27,2.0,4.0,8729,1
1.7166075134277343,2.0,12.0,4.0,0.0,0.0,20.15,2.89,10.0,3.0,83.0,0.0,5.0,16.0,4.0,10.25,2.15,58.0,8.0,4.0,2.0,17.42,0.0,5857.44,539.245703125,6.0,0.0,1.0,0.0,0.0,6.0,0.0,0.31,1.0,3.0,8729,0
1.7303099060058593,4.0,13.0,2.0,0.0,0.0,20.49,3.91,9.0,7.0,84.0,71.0,12.0,14.0,2.0,14.75,3.06,65.0,15.0,7.0,5.0,17.89,0.0,5945.12,656.464296875,10.0,2.0,0.0,0.0,4.0,12.0,0.0,0.86,4.0,6.0,8729,1
1.6078961181640625,3.0,10.0,4.0,0.0,0.0,20.61,5.63,13.0,14.0,83.0,0.0,14.0,14.0,6.0,19.25,3.09,74.0,7.0,11.0,3.0,23.28,1.0,5920.64,563.6674609375,11.0,0.0,0.0,0.0,5.0,13.0,0.0,1.0,1.0,3.0,8729,0
1.6349996948242187,5.0,13.0,1.0,0.0,0.0,22.06,6.44,9.0,8.0,86.0,0.0,19.0,14.0,6.0,23.75,3.99,18.0,16.0,16.0,3.0,26.22,60.0,5963.36,563.2526953125,17.0,0.0,1.0,0.0,2.0,19.0,0.0,1.36,1.0,6.0,8729,1
2.02817123413086,3.0,16.0,6.0,0.0,0.0,28.55,4.86,24.0,16.0,94.0,1.24,21.0,22.0,10.0,29.75,4.02,1.08,12.0,16.0,5.0,30.72,1.0,7255.68,852.12,16.0,0.0,4.0,0.0,3.0,20.0,0.0,0.95,2.0,5.0,8715,0
2.2375862121582033,3.0,22.0,8.0,0.0,0.0,34.27,3.57,26.0,14.0,94.0,1.35,28.0,30.0,7.0,32.75,3.85,1.26,10.0,15.0,13.0,32.01,1.0,6875.36,918.63203125,24.0,2.0,1.0,1.0,7.0,28.0,0.0,0.93,3.0,2.0,8715,1
2.386035614013672,4.0,18.0,9.0,0.0,0.0,33.47,5.48,16.0,19.0,96.0,2.08,26.0,27.0,9.0,33.25,3.97,1.16,8.0,19.0,7.0,32.25,0.0,7004.8,1000.211015625,17.0,2.0,1.0,2.0,7.0,25.0,0.0,0.96,1.0,5.0,8715,0
1.957556915283203,3.0,12.0,10.0,0.0,0.0,26.14,3.23,13.0,11.0,98.0,9.0,19.0,22.0,5.0,25.0,3.39,86.0,7.0,15.0,4.0,21.83,1.0,7297.28,840.345625,13.0,0.0,2.0,0.0,1.0,19.0,0.0,0.86,5.0,6.0,8715,1
2.165871276855469,6.0,17.0,5.0,0.0,0.0,26.24,4.1,14.0,12.0,96.0,1.81,32.0,22.0,6.0,37.75,3.47,1.16,6.0,24.0,8.0,28.99,1.0,7258.24,956.678828125,23.0,0.0,2.0,0.0,6.0,31.0,0.0,1.45,2.0,6.0,8715,0
1.7575347900390625,4.0,14.0,4.0,0.0,0.0,22.98,4.33,16.0,11.0,91.0,1.4,21.0,18.0,7.0,30.5,3.92,96.0,5.0,14.0,7.0,23.96,0.0,7481.28,753.416796875,19.0,0.0,0.0,1.0,5.0,21.0,0.0,1.17,5.0,14.0,8715,1
1.828432006835937,3.0,15.0,9.0,0.0,0.0,25.7,1.7,15.0,11.0,87.0,0.0,13.0,24.0,8.0,18.0,2.59,66.0,6.0,7.0,6.0,19.66,59.0,7157.76,772.824296875,11.0,1.0,2.0,0.0,2.0,13.0,0.0,0.54,2.0,7.0,8715,0
1.829010009765625,6.0,18.0,4.0,0.0,0.0,28.25,6.22,12.0,5.0,96.0,1.61,27.0,22.0,7.0,34.5,3.9,1.33,4.0,22.0,5.0,35.55,0.0,7301.6,769.2434375,21.0,0.0,3.0,0.0,4.0,27.0,0.0,1.23,2.0,5.0,8715,1
1.6611111450195313,7.0,4.0,4.0,0.0,0.0,12.21,4.21,8.0,5.0,95.0,81.0,18.0,8.0,4.0,20.75,2.22,72.0,7.0,17.0,1.0,18.98,32.0,3589.28,375.164453125,16.0,0.0,1.0,0.0,3.0,18.0,0.0,2.25,3.0,9.0,8701,1
