averageSpeed,highestStreak,untradedDeaths,tradedDeaths,inapplicableTradedKills,inapplicableTradedDeaths,damageTaken,damageHealed,tacticalsUsed,lethalsUsed,percentTimeMoving,deadSilenceTime,totalKills,totalDeaths,totalAssists,totalScore,totalShotsFired,totalShotsHit,totalShotsHead,untradedKills,tradedKills,totalDamageDealt,friendDamage,totalTimeAlive,totalDistanceTraveled,totalInVictimFovKills,totalFirstBloodKills,totalLongshotKills,totalPointblankKills,totalRevengeKills,totalInAttackerFovKills,totalWallbangKills,killDeathRatio,totalObjectivesCaptured,objectiveTiersContributed,winner
1.8582548522949216,5.0,15.0,3.0,0.0,0.0,24.83,6.79,16.0,13.0,83.0,84.0,21.0,18.0,1.0,22.25,2.86,74.0,9.0,14.0,7.0,19.08,2.0,5752.8,638.0607421875,17.0,0.0,1.0,2.0,3.0,21.0,0.0,1.17,1.0,1.0,0
1.7447705078125,5.0,11.0,8.0,0.0,0.0,24.68,5.68,14.0,9.0,86.0,79.0,21.0,19.0,8.0,28.0,3.49,1.14,8.0,18.0,3.0,29.46,1.0,5701.6,638.9047265625,15.0,0.0,1.0,1.0,2.0,21.0,0.0,1.11,2.0,7.0,1
2.03438232421875,2.0,14.0,4.0,0.0,0.0,22.16,3.14,12.0,7.0,84.0,1.17,18.0,18.0,1.0,20.0,3.42,84.0,5.0,14.0,4.0,21.18,3.0,5753.92,716.14421875,14.0,0.0,2.0,0.0,4.0,17.0,0.0,1.0,1.0,1.0,0
1.3873629760742188,3.0,6.0,5.0,0.0,0.0,14.34,2.73,9.0,8.0,84.0,66.0,14.0,11.0,4.0,18.0,2.61,53.0,10.0,10.0,4.0,14.12,0.0,6121.76,518.5050390625,12.0,1.0,1.0,0.0,2.0,14.0,0.0,1.27,2.0,4.0,1
1.7166075134277343,2.0,12.0,4.0,0.0,0.0,20.15,2.89,10.0,3.0,83.0,0.0,5.0,16.0,4.0,10.25,2.15,58.0,8.0,4.0,2.0,17.42,0.0,5857.44,539.245703125,6.0,0.0,1.0,0.0,0.0,6.0,0.0,0.31,1.0,3.0,0
1.730309906005859,4.0,13.0,2.0,0.0,0.0,20.49,3.91,9.0,7.0,84.0,71.0,12.0,14.0,2.0,14.75,3.06,65.0,15.0,7.0,5.0,17.89,0.0,5945.12,656.464296875,10.0,2.0,0.0,0.0,4.0,12.0,0.0,0.86,4.0,6.0,1
1.6078961181640623,3.0,10.0,4.0,0.0,0.0,20.61,5.63,13.0,14.0,83.0,0.0,14.0,14.0,6.0,19.25,3.09,74.0,7.0,11.0,3.0,23.28,1.0,5920.64,563.6674609375,11.0,0.0,0.0,0.0,5.0,13.0,0.0,1.0,1.0,3.0,0
1.6349996948242187,5.0,13.0,1.0,0.0,0.0,22.06,6.44,9.0,8.0,86.0,0.0,19.0,14.0,6.0,23.75,3.99,18.0,16.0,16.0,3.0,26.22,60.0,5963.36,563.2526953125,17.0,0.0,1.0,0.0,2.0,19.0,0.0,1.36,1.0,6.0,1
2.2951597595214843,7.0,17.0,9.0,0.0,0.0,33.54,5.14,17.0,16.0,95.0,1.07,29.0,26.0,5.0,35.5,4.14,1.44,11.0,20.0,9.0,36.86,1.0,7325.6,1001.301171875,25.0,1.0,10.0,0.0,5.0,29.0,0.0,1.12,1.0,2.0,0
2.482111358642578,7.0,16.0,8.0,0.0,0.0,33.86,7.82,17.0,14.0,94.0,82.0,32.0,24.0,10.0,40.0,4.73,1.54,17.0,26.0,6.0,38.71,48.0,7465.28,1069.249296875,22.0,2.0,2.0,1.0,5.0,31.0,0.0,1.33,2.0,4.0,1
