averageSpeed,highestStreak,untradedDeaths,tradedDeaths,damageTaken,damageHealed,tacticalsUsed,lethalsUsed,percentTimeMoving,deadSilenceTime,totalKills,totalDeaths,totalAssists,totalScore,totalShotsFired,totalShotsHit,totalShotsHead,untradedKills,tradedKills,totalDamageDealt,friendDamage,totalTimeAlive,totalDistanceTraveled,hillTime,contestedHillTime,totalInVictimFovKills,totalFirstBloodKills,totalLongshotKills,totalPointblankKills,totalRevengeKills,totalRotationKills,totalInAttackerFovKills,totalWallbangKills,killDeathRatio,matchGame.matchId,winner
2.0337507629394533,3.0,14.0,11.0,27.68,2.68,19.0,13.0,94.0,83.0,19.0,24.0,9.0,32.75,3.11,93.0,9.0,10.0,9.0,21.7,2.0,3883.2,555.79453125,20.0,10.0,18.0,1.0,1.0,0.0,6.0,5.0,19.0,0.0,0.79,8729,0
1.9468629455566409,5.0,12.0,6.0,23.19,4.69,12.0,10.0,96.0,1.11,27.0,18.0,7.0,44.6,3.33,1.1,11.0,22.0,5.0,28.15,70.0,4054.4,559.7426953125,57.0,7.0,23.0,0.0,0.0,0.0,7.0,7.0,27.0,0.0,1.5,8729,1
2.17712646484375,6.0,19.0,6.0,28.96,3.44,14.0,9.0,95.0,94.0,24.0,25.0,10.0,40.35,3.6,1.05,10.0,15.0,9.0,25.9,1.0,3822.88,588.6490234375,46.0,16.0,23.0,0.0,1.0,0.0,4.0,6.0,24.0,0.0,0.96,8729,0
1.6231430053710938,3.0,11.0,7.0,22.02,3.28,10.0,8.0,95.0,0.0,18.0,18.0,13.0,35.2,3.96,89.0,7.0,12.0,6.0,23.24,1.0,4249.92,433.10890625,82.0,9.0,17.0,0.0,1.0,0.0,4.0,4.0,18.0,0.0,1.0,8729,1
2.06837417602539,2.0,20.0,3.0,25.54,2.54,8.0,4.0,96.0,0.0,14.0,23.0,11.0,27.75,2.31,82.0,7.0,10.0,4.0,23.3,81.0,3981.44,503.7484375,50.0,6.0,13.0,0.0,1.0,0.0,4.0,0.0,14.0,0.0,0.61,8729,0
1.665178985595703,3.0,8.0,10.0,22.1,3.2,12.0,10.0,92.0,53.0,18.0,18.0,12.0,48.25,3.19,80.0,9.0,13.0,5.0,21.66,1.0,4102.72,467.3078125,1.16,20.0,16.0,0.0,1.0,1.0,4.0,0.0,18.0,0.0,1.0,8729,1
2.0003338623046876,2.0,17.0,5.0,25.48,3.48,12.0,13.0,97.0,0.0,15.0,22.0,8.0,25.9,3.32,70.0,9.0,7.0,8.0,18.37,1.0,4038.56,532.5716796875,24.0,9.0,12.0,0.0,0.0,0.0,3.0,2.0,15.0,0.0,0.68,8729,0
1.8131271362304688,4.0,11.0,7.0,23.56,4.85,6.0,3.0,95.0,0.0,31.0,18.0,6.0,43.85,3.99,21.0,11.0,23.0,9.0,33.76,88.0,4158.24,454.7471875,51.0,10.0,24.0,0.0,2.0,0.0,5.0,3.0,32.0,0.0,1.72,8729,1
1.6056918334960937,9.0,18.0,1.0,25.48,4.56,17.0,13.0,96.0,0.0,31.0,19.0,9.0,46.85,4.7,1.2,17.0,24.0,7.0,34.8,1.0,5542.88,539.9050390625,62.0,4.0,22.0,0.0,2.0,0.0,7.0,7.0,30.0,0.0,1.63,8715,0
1.9106378173828125,4.0,19.0,7.0,32.12,5.42,17.0,9.0,95.0,1.12,24.0,26.0,4.0,34.55,4.77,1.19,8.0,17.0,7.0,31.1,0.0,5860.48,744.972734375,33.0,6.0,22.0,0.0,1.0,0.0,7.0,9.0,24.0,0.0,0.92,8715,1
