averageSpeed,highestStreak,untradedDeaths,tradedDeaths,damageTaken,damageHealed,tacticalsUsed,lethalsUsed,percentTimeMoving,deadSilenceTime,totalKills,totalDeaths,totalAssists,totalScore,totalShotsFired,totalShotsHit,totalShotsHead,untradedKills,tradedKills,totalDamageDealt,friendDamage,totalTimeAlive,totalDistanceTraveled,hillTime,contestedHillTime,totalInVictimFovKills,totalFirstBloodKills,totalLongshotKills,totalPointblankKills,totalRevengeKills,totalRotationKills,totalInAttackerFovKills,totalWallbangKills,killDeathRatio,winner
2.0337507629394533,3.0,14.0,11.0,27.68,2.68,19.0,13.0,94.0,83.0,19.0,24.0,9.0,32.75,3.11,93.0,9.0,10.0,9.0,21.7,2.0,3883.2,555.79453125,20.0,10.0,18.0,1.0,1.0,0.0,6.0,5.0,19.0,0.0,0.79,0
1.9468629455566409,5.0,12.0,6.0,23.19,4.69,12.0,10.0,96.0,1.11,27.0,18.0,7.0,44.6,3.33,1.1,11.0,22.0,5.0,28.15,70.0,4054.4,559.7426953125,57.0,7.0,23.0,0.0,0.0,0.0,7.0,7.0,27.0,0.0,1.5,1
2.17712646484375,6.0,19.0,6.0,28.96,3.44,14.0,9.0,95.0,94.0,24.0,25.0,10.0,40.35,3.6,1.05,10.0,15.0,9.0,25.9,1.0,3822.88,588.6490234375,46.0,16.0,23.0,0.0,1.0,0.0,4.0,6.0,24.0,0.0,0.96,0
1.6231430053710938,3.0,11.0,7.0,22.02,3.28,10.0,8.0,95.0,0.0,18.0,18.0,13.0,35.2,3.96,89.0,7.0,12.0,6.0,23.24,1.0,4249.92,433.10890625,82.0,9.0,17.0,0.0,1.0,0.0,4.0,4.0,18.0,0.0,1.0,1
2.06837417602539,2.0,20.0,3.0,25.54,2.54,8.0,4.0,96.0,0.0,14.0,23.0,11.0,27.75,2.31,82.0,7.0,10.0,4.0,23.3,81.0,3981.44,503.7484375,50.0,6.0,13.0,0.0,1.0,0.0,4.0,0.0,14.0,0.0,0.61,0
1.665178985595703,3.0,8.0,10.0,22.1,3.2,12.0,10.0,92.0,53.0,18.0,18.0,12.0,48.25,3.19,80.0,9.0,13.0,5.0,21.66,1.0,4102.72,467.3078125,1.16,20.0,16.0,0.0,1.0,1.0,4.0,0.0,18.0,0.0,1.0,1
2.000333862304688,2.0,17.0,5.0,25.48,3.48,12.0,13.0,97.0,0.0,15.0,22.0,8.0,25.9,3.32,70.0,9.0,7.0,8.0,18.37,1.0,4038.56,532.5716796875,24.0,9.0,12.0,0.0,0.0,0.0,3.0,2.0,15.0,0.0,0.68,0
1.8131271362304688,4.0,11.0,7.0,23.56,4.85,6.0,3.0,95.0,0.0,31.0,18.0,6.0,43.85,3.99,21.0,11.0,23.0,9.0,33.76,88.0,4158.24,454.7471875,51.0,10.0,24.0,0.0,2.0,0.0,5.0,3.0,32.0,0.0,1.72,1
2.2160818481445315,4.0,21.0,6.0,28.07,1.07,7.0,15.0,96.0,51.0,21.0,27.0,8.0,26.1,2.82,1.23,14.0,13.0,8.0,31.73,1.0,3618.88,587.522109375,6.0,0.0,16.0,0.0,1.0,1.0,5.0,3.0,21.0,0.0,0.78,0
1.728794708251953,4.0,13.0,7.0,25.93,4.41,16.0,15.0,95.0,31.0,24.0,21.0,8.0,33.5,3.38,1.03,6.0,18.0,6.0,27.12,1.01,3920.32,463.0096484375,20.0,0.0,21.0,0.0,0.0,1.0,7.0,7.0,24.0,0.0,1.14,1
1.6472505187988282,3.0,14.0,4.0,21.39,3.13,7.0,12.0,95.0,0.0,15.0,18.0,7.0,26.0,2.18,64.0,7.0,11.0,4.0,17.47,60.0,4034.08,436.7103515625,50.0,0.0,13.0,0.0,0.0,0.0,3.0,5.0,15.0,0.0,0.83,0
1.6072770690917968,5.0,8.0,9.0,22.21,4.27,14.0,10.0,93.0,93.0,18.0,17.0,6.0,34.7,2.88,90.0,3.0,13.0,5.0,21.34,1.0,3698.08,425.60109375,83.0,3.0,15.0,0.0,0.0,0.0,4.0,3.0,18.0,0.0,1.06,1
2.033038940429688,3.0,19.0,6.0,28.17,2.72,19.0,14.0,95.0,41.0,15.0,25.0,7.0,27.65,2.82,62.0,6.0,7.0,8.0,15.89,32.0,3678.08,508.935703125,29.0,2.0,13.0,0.0,1.0,0.0,3.0,3.0,14.0,0.0,0.6,0
1.437222442626953,5.0,10.0,6.0,21.71,5.23,13.0,9.0,93.0,0.0,31.0,16.0,5.0,51.85,3.35,1.1,13.0,27.0,4.0,32.87,30.0,4114.08,357.0380078125,86.0,1.0,28.0,0.0,0.0,0.0,7.0,5.0,30.0,0.0,1.94,1
1.9166281127929687,2.0,22.0,4.0,27.28,1.28,15.0,14.0,89.0,0.0,20.0,26.0,6.0,27.5,3.85,89.0,17.0,8.0,12.0,26.25,34.0,3452.32,476.56171875,15.0,1.0,16.0,1.0,0.0,0.0,5.0,3.0,19.0,0.0,0.77,0
